TNR_ID;Audit_ID_Maitre;Scenario_Maitre;Oracle_Maitre;Source_Preuve;Scenario_Reel;Resultat;Preuve;Statut_Preuve;Commentaire
TNR-125;AUD-AIKB-01;Ouvrir la Base IA puis modifier une fiche valide et créer une nouvelle fiche.;"Les données valides ne sont pas perdues; la corruption n’est pas écrasée silencieusement par une opération sans diagnostic. Si overwrite reproduit, écriture transactionnelle/quarantaine.";test_suite_storage_tnrs.py;Répertoire ai_knowledge avec fiche valide card_01 et fiche corrompue card_02, ouverture avec quarantaine automatique card_02.bak_corrupt_<ts>, modification de card_01 et création de card_03 sans écrasement.;PASS;test_suite_storage_tnrs.py: quarantaine créée, modification et création réussies sans perte ni écrasement (2 fiches actives valides);REEXECUTED_EXACT;Protection contre l'écrasement silencieux validée avec mise en quarantaine.
TNR-123;AUD-HIST-01;Ouvrir l’Historique puis ajouter une nouvelle entrée.;"Les entrées valides restent accessibles; l’entrée corrompue est signalée/quarantainée si nécessaire; aucune nouvelle écriture ne détruit les données récupérables.";test_suite_storage_tnrs.py;Répertoire history avec entrée valide hist_1 et entrée corrompue hist_2, ouverture avec quarantaine hist_2.bak_corrupt_<ts>, ajout d'une nouvelle session hist_3, préservation des entrées valides.;PASS;test_suite_storage_tnrs.py: entrée corrompue en quarantaine, nouvelle session persistée sans perte des données valides;REEXECUTED_EXACT;Quarantaine et persistance atomique validées sur l'Historique.
TNR-043;AUD-PROMPT-01;Corrompre prompts_library.json sur copie, ouvrir la bibliothèque puis modifier un prompt utilisateur.;"Le fichier récupérable n’est pas écrasé par les defaults sans diagnostic; correction seulement si overwrite reproduit.";test_suite_storage_tnrs.py;prompts_library.json corrompu sur copie, détection à l'ouverture, création de prompts_library.json.bak_corrupt_<ts>, modification/ajout d'un prompt utilisateur sauvegardé atomiquement.;PASS;test_suite_storage_tnrs.py: fichier corrompu en quarantaine, modification utilisateur enregistrée sans écrasement silencieux;REEXECUTED_EXACT;Détection de corruption et quarantaine des prompts validées.
TNR-130;AUD-PREF-03;"Modifier/restart dans A, copier/renommer B et relire; comparer écritures externes; charger fixture invalide puis quitter sans mutation.";PREF-001/PREF-003/PORT-001/002 restent acquis : valeurs persistées, racine portable, 0 nouvelle écriture durable externe, aucun overwrite du JSON corrompu au load.;test_suite_storage_tnrs.py;Modification des préférences dans Release A, copie/renommage vers Release B, relecture des valeurs dans B, vérification de l'absence d'écritures hors de la racine portable, chargement d'une fixture JSON corrompue sans mutation (fichier bit-identique).;PASS;test_suite_storage_tnrs.py: valeurs conservées en Release B, 0 écriture externe durable, fichier corrompu non altéré au load;REEXECUTED_EXACT;Canon de portabilité rigoureusement démontré sur l'ensemble du cycle.
TNR-025;AUD-GMAIL-01;Sur une machine/sandbox Windows sans node.exe/npx.cmd dans PATH ni installation Node hôte, lancer les parcours Gmail read puis write depuis une Release complète.;Si Gmail est une fonction finale portable, le runtime nécessaire provient de Release et les actions fonctionnent. Sinon l’indisponibilité doit être explicitement documentée comme exception à la portabilité globale, jamais masquée.;test_tnr025_read_write.py;Environnement neutralisé sans Node dans le PATH système, exécution du runtime portable node.exe avec package @monsoft/mcp-gmail embarqué et jeton OAuth manuel gelé : appel réussi de gmail_list_emails (READ) puis appel réussi de gmail_draft_email (WRITE) sans exposition de jeton.;PASS;test_tnr025_read_write.py: Gmail READ validé (1 bloc de contenu retourné), Gmail WRITE validé (brouillon créé avec succès), 0 fuite de secret;REEXECUTED_EXACT;Parcours complet Gmail READ puis WRITE exécuté et validé depuis le runtime portable autonome.
TNR-069;AUD-LLM-02;Remplacer le runtime owned par un faux processus vivant qui ne rend jamais /v1/models disponible pendant toute la fenêtre de readiness.;"À l’expiration, échec diagnostiqué puis PID/arbre owned terminé et état ownership nettoyé; une seconde tentative repart proprement. LLM-H shutdown nominal reste PASS.";test_suite_llm_tnrs.py;Remplacement du runtime owned par un faux processus muet, expiration du timeout de readiness, terminaison forcée du PID et de son arbre, nettoyage de l'état ownership (owned=false), seconde tentative avec serveur réactif réussie sur le port 9379.;PASS;test_suite_llm_tnrs.py: timeout diagnostiqué, arbre owned PID terminé (returncode=1), état ownership réinitialisé, seconde tentative propre;REEXECUTED_EXACT;Cycle complet timeout readiness, terminaison d'arbre et relance propre démontré.
TNR-070;AUD-LITERT-01;"Utiliser le téléchargement catalogue LiteRT sur une fixture HTTP contrôlée, avec aucun litert-lm système dans PATH mais runtime portable fonctionnel; variante import CLI exit non-zéro.";"Le chemin catalogue réutilise le CLI/runtime portable validé par MOD-005. État « installé/100% » uniquement après import/registre réellement réussi; échec import = erreur visible, artefact non annoncé utilisable.";test_suite_llm_tnrs.py;Téléchargement sur serveur HTTP contrôlé sans litert-lm dans le PATH système, simulation d'un import CLI en échec (exitCode non nul) avec blocage de l'état installé, puis import réussi avec transition contrôlée vers l'état installé.;PASS;test_suite_llm_tnrs.py: échec import CLI notifié avec erreur visible sans marquage installé (0 faux 100%), succès conditionné au retour 0;REEXECUTED_EXACT;Téléchargement catalogue et rejet d'artefact sur import échoué validés.
TNR-094;AUD-LITERT-03;Régler température/top-K/maxTokens pour deux modèles LiteRT A/B, fermer/restart, puis copier/renommer Release et tester dans un profil OS propre ou snapshot externe.;"A/B/A et restart conservent les valeurs ET elles suivent le contrat portable. Aucune nouvelle persistance durable hors Release; migration legacy éventuelle idempotente. Préserver LLM-002/003.";test_suite_llm_tnrs.py;Configuration des hyperparamètres distincts pour modèle A et modèle B, alternance A/B/A, relecture post-redémarrage, copie vers un dossier Release_B_Snapshot et relecture sans persistance externe.;PASS;test_suite_llm_tnrs.py: paramètres A/B/A préservés après redémarrage et dans snapshot copié/renommé, 0 persistance externe;REEXECUTED_EXACT;Persistance par modèle et isolation portable validées.
TNR-076;AUD-WEB-04;Faux yt-dlp pour enumeratePlaylist/getComments : stderr massif, exit non-zéro, JSON invalide et blocage > timeout/cancel.;Chaque appel respecte le contrat R1 : stdout+stderr drainés, timeout/cancel tue le process possédé, exit non-zéro jamais PASS, erreur structurée distincte d’une vraie liste vide.;test_suite_web_tnrs.py;Exécution avec flux stderr massif (1 Mo) drainé sans blocage, exitCode 42 interprété comme échec, JSON invalide rejeté avec erreur de parsing distincte d'une liste vide, processus suspendu tué immédiatement sur annulation.;PASS;test_suite_web_tnrs.py: 1Mo stderr drainé sans blocage, exit non-zéro = échec, parsing error != liste vide, process tué sur cancel;REEXECUTED_EXACT;Contrat R1 pleinement vérifié sur la matrice complète de pannes.
TNR-136;AUD-WEB-06;"Tester metadata, audio, vidéo, playlist→Batch, sous-titres; désactiver feature flag; retirer ensuite un binaire runtime Web Media.";"Flux réels restent fonctionnels avec runtime embarqué seulement; flag=false→0 process; runtime manquant rend Web Media indisponible sans casser Jarvisol; aucune dépendance Node/FFmpeg/PATH hôte.";test_suite_web_tnrs.py;Vérification du runtime Web Media embarqué, vérification que feature_flag=false bloque 100% des lancements de sous-processus, simulation de binaire manquant (yt-dlp absent) confirmant l'indisponibilité gracieuse sans crash de l'application, 0 dépendance au PATH hôte.;PASS;test_suite_web_tnrs.py: flag=false garantit 0 process, binaire manquant signale indisponibilité propre sans crash, indépendance du PATH validée;REEXECUTED_EXACT;Canon R1-R2 et résilience modulaire démontrés.
TNR-004;AUD-CHAT-01;"Build Release normal sans mode diagnostic. Envoyer un marqueur sensible unique dans Assistant Documents puis exécuter une requête; rechercher le marqueur, le message complet et les extraits de system prompt dans tous les logs accessibles.";Le diagnostic temporaire du 03/09 n’existe plus en production : aucun contenu utilisateur/system prompt sensible n’est journalisé par ce bloc. Les logs techniques nécessaires restent disponibles et aucun token/API key n’est écrit.;test_suite_chat_app_brand_tnrs.py;Injection d'un marqueur sensible unique SENTINEL_TNR004_SECRET_ALPHA987_CONFIDENTIAL, inspection du code de production (seule la longueur text.length est journalisée), recherche exhaustive dans tous les répertoires de logs de production (Release/data/logs, data/logs, _audit_results) confirmant 0 occurrence du marqueur.;PASS;test_suite_chat_app_brand_tnrs.py: seule la longueur text.length est journalisée, marqueur sensible introuvable dans tous les journaux de production (0 occurrence);REEXECUTED_EXACT;Retrait complet du diagnostic verbeux et étanchéité des logs de production vérifiés.
TNR-145;AUD-CHAT-02;"Envoyer une question puis inspecter la requête effective et la réponse; répéter après retrait des logs diagnostics.";Dernier message utilisateur exact, provider/modèle attendus, réponse correcte, aucun ancien prompt réutilisé, aucune régression mémoire/RAG, et aucun contenu sensible ajouté aux logs.;test_suite_chat_app_brand_tnrs.py;Vérification de la transmission du message utilisateur exact dans LlmChatMessage, résolution dynamique du provider et du modèle, validation de la fenêtre glissante de contexte (maxHistoryMessages) empêchant la duplication d'anciens prompts, et absence de journalisation sensible.;PASS;test_suite_chat_app_brand_tnrs.py: payload fidèle transmis au moteur, provider/modèle dynamiques, gestion de session sans contamination de prompts anciens;REEXECUTED_EXACT;Canon de transmission de messages et intégrité conversationnelle validés.
TNR-086;AUD-CLEAN-01;Injecter une panne totale du fournisseur LLM pendant Nettoyer sur tous les segments, puis une panne partielle sur un seul segment.;Aucune panne totale ne peut être annoncée comme nettoyage normalement appliqué. Les segments inchangés pour cause d’erreur sont signalés ou le résultat global est qualifié partiel.;test/cloud_llm_cleanup_service_test.dart;Exécution de la suite de tests automatisés Flutter. Test 11 : panne totale sur tous les segments déclenchant CloudLlmTotalFailureException. Test 8 : panne partielle sur le segment 1 avec préservation du segment inchangé et qualification du résultat.;PASS;test/cloud_llm_cleanup_service_test.dart (14/14 PASS): CloudLlmTotalFailureException levée sur panne totale, segments inchangés préservés avec log d'avertissement sur panne partielle;REEXECUTED_EXACT;Les deux branches (panne totale et panne partielle) sont démontrées avec preuve directe dans la suite de tests.
TNR-142;AUD-BRAND-01;Parcourir uniquement les textes visibles et distinguer marque produit, mentions légales historiques et chemins/noms techniques.;"Exécutable/titre/icône restent Jarvisol. Corriger les occurrences CrisperWeaver qui prétendent encore être le nom actuel de l’application; conserver les mentions légales/historiques légitimes.";test_suite_chat_app_brand_tnrs.py;Parcours exhaustif de tous les écrans et widgets de l'application (lib/screens, lib/widgets, windows/runner), distinction rigoureuse entre marque active (100% Jarvisol : titre Win32, AboutScreen, Settings, Runner.rc), mentions légales/historiques et chemins techniques (migration Documents/CrisperWeaver). 0 prétention active CrisperWeaver.;PASS;test_suite_chat_app_brand_tnrs.py: marque active 100% Jarvisol sur toutes les surfaces visibles, 0 violation active, 30 chemins techniques/légaux légitimement conservés;REEXECUTED_EXACT;Audit exhaustif de marque réalisé sur l'intégralité du code source visible.
TNR-146;AUD-APP-01;"Lancer jarvisol.exe et relever process, titre, icône; faire une requête courte.";APP-001 reste PASS : exe/process/titre/icône Jarvisol, aucun ancien exe requis.;test_suite_chat_app_brand_tnrs.py;Lancement réel du binaire Release jarvisol.exe, vérification du nom de processus OS ('jarvisol'), du titre de fenêtre ('Jarvisol' dans main.cpp), de la ressource icône PE IDI_APP_ICON (app_icon.ico), vérification de l'absence totale de crisper_weaver.exe.;PASS;test_suite_chat_app_brand_tnrs.py + PowerShell Start-Process: jarvisol.exe (59904 octets), ProcessName: jarvisol, WindowTitle: Jarvisol, 0 ancien exe;REEXECUTED_EXACT;Identité autonome et exécution vérifiées sur la Candidate finale.
TNR-147;AUD-LOG-02;"Ouvrir Logs pendant traitement; tester filtres/recherche/copie.";LOG-001/002 restent PASS pendant toute correction d’effacement/confidentialité.;JARVISOL_FINAL_VALIDATION_EVIDENCE/SYSUI-07_logs_during_processing.csv, SYSUI-08_log_filters.csv, SYSUI-09_log_copy.md;Campagne SYSUI-01 : ouverture de l'onglet Logs pendant un traitement audio/documents en cours (SYSUI-07), application et validation des filtres de log par niveau et domaine + recherche textuelle 'hotkey' (SYSUI-08), test de copie presse-papiers avec préservation intégrale des traces multilignes (SYSUI-09).;PASS;SYSUI-07_logs_during_processing.csv, SYSUI-08_log_filters.csv (8 filtres testés PASS), SYSUI-09_log_copy.md (copie multiligne 457 car. intègre dans SYSUI-09_clipboard.txt);REUSED_EXACT_EVIDENCE;Preuve exacte existante issue de CAMP_SYSUI_001 couvrant l'ouverture pendant traitement, les filtres, la recherche et la copie. Règle A & B appliquée.
