Path,Size_Bytes,Type,Description,Recommended_Action
lib/models/image_model_catalog.dart.bak_20260908_120434,18380,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/models/web_media_models.dart.bak_20260913_2235,8834,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/providers/synthesize_screen_provider.dart.bak_20260910_2145,10727,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/about_screen.dart.bak_20260914_2235,7446,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/ai_conversations_screen.dart.bak_20260826_2344,30253,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/ai_conversations_screen.dart.bak_20260831_1041,30253,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/ai_conversations_screen.dart.bak_20260831_1849,30956,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/image_models_screen.dart.bak_,34853,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/image_models_screen.dart.bak_20260908_083826,34853,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/image_models_screen.dart.bak_20260908_084213,35024,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/image_models_screen.dart.bak_20260908_100454,35795,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/image_models_screen.dart.bak_20260908_120434,36470,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/image_models_screen.dart.bak_20260908_1237,38101,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/image_models_screen.dart.bak_20260908_1407,38209,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/model_management_screen.dart.bak_20260908_0746,52046,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/settings_screen.dart.bak_20260906_2122,60034,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/settings_screen.dart.bak_20260908_0746,60494,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/settings_screen.dart.bak_20260914_2235,60794,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/synthesize_screen.dart.bak_20260831_1041,70574,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/synthesize_screen.dart.bak_20260910_2145,70555,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/synthesize_screen.dart.bak_20260910_2203,79214,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/synthesize_screen.dart.bak_20260911_1030,82081,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/synthesize_screen.dart.bak_20260911_1207,82719,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/synthesize_screen.dart.bak_20260911_2003,82788,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/transcription_screen.dart.bak,156690,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/transcription_screen.dart.bak_20260913_2033,164293,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/screens/voice_bake_screen.dart.bak_20260901_2253,14216,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/ai_conversations_service.dart.bak_20260906_1717,29839,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/ai_conversations_service.dart.bak_20260906_1801,30693,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/ai_conversations_service.dart.bak_20260914_1807,31732,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/ai_knowledge_service.dart.bak_20260914_1807,8748,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/audiobook_service.dart.bak_,169993,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/audiobook_service.dart.bak_20260831_1041,48101,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/audiobook_service.dart.bak_20260911_1103,169993,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/audiobook_service.dart.bak_20260911_1207,174611,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/audio_service.dart.bak_20260913_2033,25949,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/batch_persistence_service.dart.bak_20260914_1807,14057,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/batch_queue_service.dart.bak_20260831_1648,20162,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/cloud_llm_cleanup_service.dart.bak_20260914_2235,7682,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/document_rag_service.dart.bak_20260902_1148,28545,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/document_rag_service.dart.bak_20260902_1745,39229,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/document_rag_service.dart.bak_20260902_2226,41423,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/embedding_provider.dart.bak_20260902_1745,7251,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/hardware_advisor_service.dart.bak_20260907_1029,25758,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/hardware_advisor_service.dart.bak_20260907_1336,27774,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/hardware_advisor_service.dart.bak_20260907_1507,39328,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/history_service.dart.bak_20260914_1807,20619,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/image_model_catalog_service.dart.bak_20260908_0746,10551,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/image_model_catalog_service.dart.bak_20260908_120434,10551,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/image_model_installer_service.dart.bak_20260907_2017,14469,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/image_model_installer_service.dart.bak_20260907_2050,15467,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/image_model_installer_service.dart.bak_20260908_0746,17470,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/image_model_install_planner.dart.bak_20260908_0746,5327,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/image_model_install_planner.dart.bak_20260908_120434,5327,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/imported_voice_service.dart.bak_20260910_2149,8604,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/imported_voice_service.dart.bak_20260911_1030,8562,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/imported_voice_service.dart.bak_20260911_1207,8886,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/litert_model_registry.dart.bak_20260914_2034,24465,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/llm_service.dart.bak_,40004,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/llm_service.dart.bak_20260831_2005,25862,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/llm_service.dart.bak_20260831_2041,37063,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/llm_service.dart.bak_20260831_2228,37890,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/llm_service.dart.bak_20260901_1127,38259,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/llm_service.dart.bak_20260903_0920,39397,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/llm_service.dart.bak_20260913_0903,40004,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/llm_service.dart.bak_20260913_0944,46153,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/llm_service.dart.bak_20260914_2034,52629,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/mcp_tools_service.dart.bak_20260901_1924,42115,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/mcp_tools_service.dart.bak_20260902_2306,42778,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/mcp_tools_service.dart.bak_20260902_2315,42821,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/mcp_tools_service.dart.bak_20260903_0848,42821,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/mcp_tools_service.dart.bak_20260903_0920,45030,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/mcp_tools_service.dart.bak_20260903_1138,46587,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/mcp_tools_service.dart.bak_20260913_1829,69012,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/mcp_tools_service.dart.bak_20260914_1947,69137,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/mcp_tools_service.dart.bak_20260914_2221,73390,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/memory_server_manager.dart.bak_20260914_1755,13576,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/prompt_library_service.dart.bak_20260914_1807,12284,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/settings_service.dart.bak_20260901_1849,57768,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/settings_service.dart.bak_20260902_1148,58029,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/settings_service.dart.bak_20260908_0746,59796,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/settings_service.dart.bak_20260911_0928,59796,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/settings_service.dart.bak_20260913_2030,61661,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/tts_service.dart.bak_20260910_2143,42575,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/tts_service.dart.bak_20260911_1030,43091,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/voice_baking_service.dart.bak_20260831_1043,8162,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/voice_baking_service.dart.bak_20260901_2253,8197,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/voice_pack_inspector.dart.bak_20260910_2149,10688,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/voice_pack_inspector.dart.bak_20260911_2003,10697,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/web_media_service.dart.bak_20260913_2034,25390,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/web_media_service.dart.bak_20260913_2235,25581,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/web_media_service.dart.bak_20260913_2255,28847,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/web_media_service.dart.bak_20260914_2050,28712,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/services/web_media_service.dart.bak_20260914_2217,31746,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/utils/app_paths.dart.bak_20260831_1625,6819,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/utils/app_paths.dart.bak_20260907_1928,7984,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/utils/app_paths.dart.bak_20260908_0746,8179,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/utils/app_paths.dart.bak_20260910_2141,8179,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/utils/portable_preferences.dart.bak_20260831_1153,10836,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/utils/portable_preferences.dart.bak_20260911_0928,12338,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/utils/portable_preferences.dart.bak_20260914_1759,13015,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/ai_knowledge_dialog.dart.bak_20260831_1849,29862,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/audiobook_export_dialog.dart.bak_20260831_1041,10747,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/audiobook_studio_widget.dart.bak_,126589,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/audiobook_studio_widget.dart.bak_20260911_1103,126589,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/audiobook_studio_widget.dart.bak_20260911_1207,137731,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/audiobook_studio_widget.dart.bak_20260911_1240,138607,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/audiobook_studio_widget.dart.bak_20260911_2003,138974,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/audiobook_studio_widget.dart.bak_20260913_0751,140617,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260826_0746,148221,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260826_2344,157398,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260827_0051,154917,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260831_1041,159985,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260831_1849,163777,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260831_2005,163878,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260831_2041,163878,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260901_1142,165877,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260901_1852,167757,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260901_2056,168950,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260902_1148,171644,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260902_1745,174053,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260902_2226,175405,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260902_2306,175839,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260902_2315,181963,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260903_0848,182754,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260903_0920,185193,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260903_1138,185799,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260903_1203,187086,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260913_0944,188472,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260913_2033,188066,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_20260914_2235,189922,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/document_chat_widget.dart.bak_broken_20260826_2351,157835,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/hardware_diagnostic_dialog.dart.bak_20260907_1029,11836,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/hardware_diagnostic_dialog.dart.bak_20260907_1336,13492,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/hardware_diagnostic_dialog.dart.bak_20260907_1507,16619,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/inpaint_editor_dialog.dart.bak_20260901_1818,42447,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_chat_widget.dart.bak_20260826_2344,34709,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_chat_widget.dart.bak_20260831_1849,34709,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_chat_widget.dart.bak_20260831_2005,34846,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_chat_widget.dart.bak_20260831_2041,34846,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_settings_dialog.dart.bak_,171357,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_settings_dialog.dart.bak_20260901_1146,146188,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_settings_dialog.dart.bak_20260902_1148,148484,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_settings_dialog.dart.bak_20260902_2153,155225,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_settings_dialog.dart.bak_20260903_0920,165631,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/llm_settings_dialog.dart.bak_20260913_0903,171357,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/mcp_library_dialog.dart.bak_20260831_1041,29700,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/multi_image_edit_widget.dart.bak_20260913_1904,31189,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/multi_image_edit_widget.dart.bak_20260913_1935,38559,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/rag_library_dialog.dart.bak_20260902_2226,31244,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/transcription_output_widget.dart.bak,76227,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/transcription_output_widget.dart.bak_20260913_1822,82000,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/transcription_output_widget.dart.bak_20260914_2235,82150,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/voice_tuning_dialog.dart.bak_20260911_1240,36174,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
lib/widgets/web_media_import_dialog.dart.bak_20260913_2235,31551,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
scripts/bundle_litert_runtime.ps1.bak_20260831_2041,16790,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
scripts/bundle_windows_dlls.ps1.bak_20260901_0856,8991,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/ai_dialog_coherence_and_multimodal_test.dart.bak_20260831_1134,5390,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/app_state_test.dart.bak_20260831_1849,5641,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/assistant_documents_audit_test.dart.bak_20260831_1648,15656,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/audiobook_rules_test.dart.bak_20260831_1134,4463,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/audiobook_studio_test.dart.bak_20260831_1134,4831,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/backend_dispatch_test.dart.bak_20260901_0833,40472,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/backend_dispatch_test.dart.bak_20260901_0839,41475,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/batch_grouping_test.dart.bak_20260831_1706,8563,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/batch_queue_service_test.dart.bak_20260831_1659,7713,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/cli_test.dart.bak_20260831_1648,2878,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
test/cloud_llm_cleanup_service_test.dart.bak_20260914_2237,9443,Local Code/Config Backup,Pre-modification safety backup created according to Rule 11,Archive or purge after external validation approval
