Nom_Package,Version,Taille_Octets,Fichiers_Count,Licence,Point_Entree_Principal,Raison_Presence
iconv-lite,0.4.24,335941,26,MIT,./lib/index.js,Dépendance de production requise par @monsoft/mcp-gmail
inherits,2.0.4,3958,5,ISC,./inherits.js,Dépendance de production requise par @monsoft/mcp-gmail
ip-address,10.4.0,299533,30,MIT,dist/ip-address.js,Dépendance de production requise par @monsoft/mcp-gmail
ipaddr.js,1.9.1,42145,6,MIT,./lib/ipaddr.js,Dépendance de production requise par @monsoft/mcp-gmail
is-docker,3.0.0,3154,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
is-fullwidth-code-point,3.0.0,4994,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
is-inside-container,1.0.0,3480,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
is-promise,4.0.0,2958,6,MIT,./index.js,Dépendance de production requise par @monsoft/mcp-gmail
is-stream,2.0.1,5927,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
is-wsl,3.1.1,3664,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
isexe,2.0.0,10956,8,ISC,index.js,Dépendance de production requise par @monsoft/mcp-gmail
jose,6.2.7,246664,88,MIT,./dist/webapi/index.js,Dépendance de production requise par @monsoft/mcp-gmail
json-bigint,1.0.0,37345,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
json-schema-traverse,1.0.0,22220,12,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
json-schema-typed,8.0.2,197188,9,BSD-2-Clause,./draft_2020_12.js,Dépendance de production requise par @monsoft/mcp-gmail
jwa,2.0.1,14052,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
jws,4.0.1,18822,10,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
math-intrinsics,1.1.0,17323,38,MIT,False,Dépendance de production requise par @monsoft/mcp-gmail
media-typer,0.3.0,11055,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
merge-descriptors,1.0.3,5081,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
methods,1.1.2,5288,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
mime,1.6.0,51738,10,MIT,mime.js,Dépendance de production requise par @monsoft/mcp-gmail
mime-db,1.52.0,205539,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
mime-types,2.1.35,18272,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
ms,2.0.0,6266,4,MIT,./index,Dépendance de production requise par @monsoft/mcp-gmail
negotiator,0.6.3,27375,9,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
node-fetch,2.7.0,162253,7,MIT,lib/index.js,Dépendance de production requise par @monsoft/mcp-gmail
object-assign,4.1.1,5493,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
object-inspect,1.13.4,102920,34,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
on-finished,2.4.1,13679,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
once,1.4.0,4046,4,ISC,once.js,Dépendance de production requise par @monsoft/mcp-gmail
open,10.2.0,55605,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
parseurl,1.3.3,10299,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
path-key,3.1.1,4553,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
path-to-regexp,0.1.13,6644,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
pkce-challenge,5.0.1,18211,10,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
proxy-addr,2.0.7,15399,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
qs,6.15.3,346555,20,BSD-3-Clause,lib/index.js,Dépendance de production requise par @monsoft/mcp-gmail
range-parser,1.2.1,8457,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
raw-body,3.0.2,362680,32,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
require-directory,2.1.1,12071,7,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
require-from-string,2.0.2,3422,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
router,2.2.0,156045,24,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
run-applescript,7.1.0,5355,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
safe-buffer,5.2.1,32101,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
safer-buffer,2.1.2,42299,7,MIT,safer.js,Dépendance de production requise par @monsoft/mcp-gmail
send,0.19.2,57119,10,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
serve-static,1.16.3,25518,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
setprototypeof,1.2.0,4025,6,ISC,index.js,Dépendance de production requise par @monsoft/mcp-gmail
shebang-command,2.0.0,2556,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
shebang-regex,3.0.0,2828,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
side-channel,1.1.1,22864,12,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
side-channel-list,1.0.1,16973,13,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
side-channel-map,1.0.1,13348,12,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
side-channel-weakmap,1.0.2,14667,12,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
statuses,2.0.2,12505,6,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
string-width,4.2.3,5161,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
strip-ansi,6.0.1,4029,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
toidentifier,1.0.1,4685,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
tr46,0.0.3,268388,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
type-is,1.6.18,18497,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
unpipe,1.0.0,4311,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
url-template,2.0.8,65489,16,BSD,./lib/url-template.js,Dépendance de production requise par @monsoft/mcp-gmail
utils-merge,1.0.1,3720,5,MIT,./index,Dépendance de production requise par @monsoft/mcp-gmail
uuid,9.0.1,123288,76,MIT,./dist/index.js,Dépendance de production requise par @monsoft/mcp-gmail
vary,1.1.2,8747,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
webidl-conversions,3.0.1,12370,4,BSD-2-Clause,lib/index.js,Dépendance de production requise par @monsoft/mcp-gmail
whatwg-url,5.0.0,49886,8,MIT,lib/public-api.js,Dépendance de production requise par @monsoft/mcp-gmail
which,2.0.2,9975,6,ISC,which.js,Dépendance de production requise par @monsoft/mcp-gmail
wrap-ansi,7.0.0,10648,4,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
wrappy,1.0.2,2961,4,ISC,wrappy.js,Dépendance de production requise par @monsoft/mcp-gmail
wsl-utils,0.1.0,5036,5,MIT,index.js,Dépendance de production requise par @monsoft/mcp-gmail
y18n,5.0.8,23435,9,ISC,./build/index.cjs,Dépendance de production requise par @monsoft/mcp-gmail
yargs,17.7.3,317460,63,MIT,./index.cjs,Dépendance de production requise par @monsoft/mcp-gmail
yargs-parser,21.1.1,128470,11,ISC,build/index.cjs,Dépendance de production requise par @monsoft/mcp-gmail
zod,3.25.76,3594196,596,MIT,./index.cjs,Dépendance de production requise par @monsoft/mcp-gmail
zod-to-json-schema,3.25.2,219264,130,ISC,./dist/cjs/index.js,Dépendance de production requise par @monsoft/mcp-gmail
