Lot,Audit_ID,Test_ID,Type_Test,Scenario,Oracle,Resultat,Comportement_Observe,Preuve,Fichiers_Modifies,Observation_secondaire
B-R1,AUD-WEB-01,CAN-WEB-METADATA,Canary,Extraction des métadonnées vidéo via --dump-json,Support des arguments d'interrogation et parsing des flux,PASS,Arguments reconnus et validés par le binaire portable,scratch/test_web_canaries.py,Aucun,Non-régression des extracteurs de métadonnées
B-R1,AUD-WEB-01,CAN-WEB-AUDIO,Canary,Extraction et transcodage audio via FFmpeg portable,FFmpeg exécutable avec décodeurs/encodeurs audio disponibles,PASS,FFmpeg v8.0 prêt pour l'extraction audio et le découpage,scratch/test_web_canaries.py,Aucun,Support des formats MP3/WAV/M4A
B-R1,AUD-WEB-01,CAN-WEB-VIDEO,Canary,Téléchargement vidéo avec sélecteur de format mp4/best,yt-dlp exécute les règles de sélection de format sans erreur de syntaxe,PASS,Arguments de téléchargement vidéo nominaux validés,scratch/test_web_canaries.py,Aucun,Téléchargement haute fidélité
B-R1,AUD-WEB-01,CAN-WEB-PLAYLIST-BATCH,Canary,Énumération des playlists pour injection dans le module Batch,Support de --flat-playlist pour génération de liste de travaux sans téléchargement,PASS,Option --flat-playlist reconnue et exploitable,scratch/test_web_canaries.py,Aucun,Intégration directe avec le batch processing Jarvisol
B-R1,AUD-WEB-01,CAN-WEB-SUBTITLES,Canary,"Extraction des sous-titres (--write-sub, --sub-lang)",Support des drapeaux de sous-titrage multilingue,PASS,Options de sous-titres validées,scratch/test_web_canaries.py,Aucun,Extraction pour indexation documentaire ou ASR
B-R1,AUD-WEB-01,CAN-WEB-PORTABLE-ENV,Canary,"Exécution du runtime Web Media sans Node, FFmpeg ou Python dans PATH",Exécution isolée avec PATH restreint à System32 uniquement,PASS,yt-dlp démarre et retourne sa version en environnement épuré,scratch/test_web_canaries.py,Aucun,Portabilité USB et zéro dépendance hôte
B-R1,AUD-WEB-02,CAN-WEB-ABSENT,Canary,Absence totale du répertoire runtime/web_media/,"probe() retourne isAvailable=false gracieusement, l'application ne plante pas",PASS,"Désactivation propre dans l'interface, ASR/Documents/Chat 100% fonctionnels",scratch/test_web_canaries.py,Aucun,Isolation absolue des pannes
B-R1,AUD-WEB-01,TNR-076,Canary / Robustesse,Gestion des erreurs de runner sur URL invalide,Le processus lève une exception WebMediaProcessException au lieu d'une liste vide trompeuse,PASS,Exit code non nul capturé avec stderr détaillé sans silencier l'erreur,scratch/test_web_canaries.py,Aucun,Différencie échec technique et collection vide
B-R2,AUD-GMAIL-01,GATE-GMAIL-PHASE-A-INITIAL,Portabilité Release,Test initial d'exécution du MCP Gmail dans sandbox Release isolée sans cache npm,Le serveur doit démarrer sans télécharger de package externe,FAIL,npx a levé ENOTCACHED car @monsoft/mcp-gmail@0.4.0 n'était pas pré-embarqué dans runtime/node/,scratch/test_gmail_phase_a.py,Aucun (constat),A légitimé le déclenchement de la correction conditionnelle
B-R2,AUD-GMAIL-01,CORR-GMAIL-EMBED,Packaging Portable,Embarquement de @monsoft/mcp-gmail@0.4.0 et dépendances de prod dans runtime/node/,148 packages de production embarqués sous runtime/node/node_modules/,PASS,"Packages installés (117 Mo), entrypoint dist/index.js présent et vérifié",runtime/node/node_modules/@monsoft/mcp-gmail/dist/index.js,runtime/node/node_modules/ (148 packages),Aucune dépendance de développement superflue
B-R2,AUD-GMAIL-01,GATE-GMAIL-PHASE-A-RETEST,Portabilité Release,"Retest dans sandbox isolée: registry bloquée, cache npm vide, PATH épuré, token valide",Handshake initialize JSON-RPC réussi directement via node.exe sans npx,PASS,"Serveur MCP démarre immédiatement, répond aux requêtes initialize et tools/list avec succès",scratch/test_handshake.py & scratch/test_gmail_phase_a_retest.py,lib/services/mcp_tools_service.dart,Autonomie totale du serveur MCP Gmail en environnement hors-ligne
B-R2,AUD-GMAIL-01,GATE-GMAIL-PHASE-B-ABSENT,Robustesse OAuth,Absence de credentials.json dans le répertoire mcp_servers/gmail/,"Refus d'exécution clair, indication de la procédure manuelle de configuration",PASS,Message explicite guidant l'utilisateur sans faux succès ni annonce prématurée,scratch/test_gmail_phase_b.py (scénario 1),lib/services/mcp_tools_service.dart,Respect du workflow manuel d'authentification
B-R2,AUD-GMAIL-01,GATE-GMAIL-PHASE-B-CORRUPT,Robustesse OAuth,Fichier credentials.json vide (0 octet) ou JSON syntaxiquement corrompu,"Refus fail-closed immédiat, invitation explicite à relancer LOGIN_GMAIL.bat",PASS,"Détection atomique sans hang, message de diagnostic clair retourné à l'utilisateur",scratch/test_gmail_phase_b.py (scénarios 2 & 3),lib/services/mcp_tools_service.dart,Préservation des sauvegardes existantes .bak_prev
B-R2,AUD-GMAIL-01,GATE-GMAIL-PHASE-B-EXPIRED,Robustesse OAuth,Token expiré avec échec de renouvellement réseau ou révocation,Journalisation explicite invitant à relancer LOGIN_GMAIL.bat sans crash,PASS,"Échec de refresh journalisé proprement, statut retourné fail-closed",scratch/test_gmail_phase_b.py (scénario 4),lib/services/mcp_tools_service.dart,Aucun blocage ou boucle infinie d'authentification
